cluster_final,tag,count,share_of_cluster,cluster_size
7,education_children,7,0.029045643153526972,241
7,alcohol_smoking_drugs,6,0.024896265560165973,241
7,law_crime,6,0.024896265560165973,241
7,transport,5,0.02074688796680498,241
7,absurd_philosophy,4,0.016597510373443983,241
7,it_internet,4,0.016597510373443983,241
7,religion_holidays,3,0.012448132780082987,241
7,army_police,3,0.012448132780082987,241
7,family_relationships,3,0.012448132780082987,241
7,media_popculture,2,0.008298755186721992,241
7,finance_economy,2,0.008298755186721992,241
7,soviet_history_politics,1,0.004149377593360996,241
7,consumer_services,1,0.004149377593360996,241
7,sport,1,0.004149377593360996,241
7,covid_pandemic,1,0.004149377593360996,241
8,education_children,189,0.8513513513513513,222
8,army_police,8,0.036036036036036036,222
8,sex_gender,8,0.036036036036036036,222
8,work_professions,6,0.02702702702702703,222
8,alcohol_smoking_drugs,4,0.018018018018018018,222
8,cities_places,3,0.013513513513513514,222
8,it_internet,3,0.013513513513513514,222
8,transport,2,0.009009009009009009,222
8,animals,2,0.009009009009009009,222
8,textual_forms,2,0.009009009009009009,222
8,literature_folklore_characters,2,0.009009009009009009,222
8,everyday_life,2,0.009009009009009009,222
8,consumer_services,2,0.009009009009009009,222
8,science_space,2,0.009009009009009009,222
8,absurd_philosophy,2,0.009009009009009009,222
8,health_medicine,1,0.0045045045045045045,222
8,politics_power,1,0.0045045045045045045,222
8,food_diet,1,0.0045045045045045045,222
8,media_popculture,1,0.0045045045045045045,222
8,sport,1,0.0045045045045045045,222
8,finance_economy,1,0.0045045045045045045,222
8,religion_holidays,1,0.0045045045045045045,222
9,transport,87,0.39545454545454545,220
9,cities_places,54,0.24545454545454545,220
9,ethnic_regional,36,0.16363636363636364,220
9,work_professions,11,0.05,220
9,sex_gender,9,0.04090909090909091,220
9,literature_folklore_characters,7,0.031818181818181815,220
9,everyday_life,6,0.02727272727272727,220
9,education_children,5,0.022727272727272728,220
9,finance_economy,5,0.022727272727272728,220
9,law_crime,4,0.01818181818181818,220
9,politics_power,4,0.01818181818181818,220
9,alcohol_smoking_drugs,4,0.01818181818181818,220
9,family_relationships,4,0.01818181818181818,220
9,media_popculture,3,0.013636363636363636,220
9,health_medicine,3,0.013636363636363636,220
9,religion_holidays,2,0.00909090909090909,220
9,consumer_services,2,0.00909090909090909,220
9,it_internet,1,0.004545454545454545,220
9,absurd_philosophy,1,0.004545454545454545,220
9,textual_forms,1,0.004545454545454545,220
9,covid_pandemic,1,0.004545454545454545,220
10,animals,94,0.4292237442922374,219
10,literature_folklore_characters,33,0.1506849315068493,219
10,everyday_life,25,0.1141552511415525,219
10,media_popculture,10,0.045662100456621,219
10,education_children,9,0.0410958904109589,219
10,absurd_philosophy,9,0.0410958904109589,219
10,covid_pandemic,8,0.0365296803652968,219
10,family_relationships,7,0.0319634703196347,219
10,textual_forms,6,0.0273972602739726,219
10,politics_power,6,0.0273972602739726,219
10,sex_gender,6,0.0273972602739726,219
10,finance_economy,6,0.0273972602739726,219
10,transport,4,0.0182648401826484,219
10,work_professions,4,0.0182648401826484,219
10,it_internet,4,0.0182648401826484,219
10,religion_holidays,2,0.0091324200913242,219
10,food_diet,2,0.0091324200913242,219
10,alcohol_smoking_drugs,2,0.0091324200913242,219
10,cities_places,2,0.0091324200913242,219
10,ethnic_regional,1,0.0045662100456621,219
10,health_medicine,1,0.0045662100456621,219
10,army_police,1,0.0045662100456621,219
10,soviet_history_politics,1,0.0045662100456621,219
11,religion_holidays,93,0.4325581395348837,215
11,media_popculture,53,0.24651162790697675,215
11,everyday_life,42,0.19534883720930232,215
11,absurd_philosophy,12,0.05581395348837209,215
11,covid_pandemic,10,0.046511627906976744,215
11,education_children,7,0.03255813953488372,215
11,politics_power,5,0.023255813953488372,215
11,it_internet,4,0.018604651162790697,215
11,sex_gender,4,0.018604651162790697,215
11,alcohol_smoking_drugs,3,0.013953488372093023,215
11,work_professions,2,0.009302325581395349,215
11,animals,2,0.009302325581395349,215
11,army_police,2,0.009302325581395349,215
11,family_relationships,2,0.009302325581395349,215
11,cities_places,2,0.009302325581395349,215
11,soviet_history_politics,2,0.009302325581395349,215
11,consumer_services,2,0.009302325581395349,215
11,literature_folklore_characters,1,0.004651162790697674,215
11,finance_economy,1,0.004651162790697674,215
11,transport,1,0.004651162790697674,215
11,textual_forms,1,0.004651162790697674,215
12,it_internet,106,0.5353535353535354,198
12,work_professions,50,0.25252525252525254,198
