feature_set,method,metric,params,k,resolution,seed,rows,cluster_count,largest_cluster_share,noise_share,ari_all,ami_all,v_measure_all,ari_excluding_other,ami_excluding_other,v_measure_excluding_other,ari_single_clear,ami_single_clear,v_measure_single_clear,pairwise_f1_all,pairwise_precision_all,pairwise_recall_all,balanced_score,n_clusters,error
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=20;resolution=0.5;seed=1,20.0,0.5,1.0,5509.0,6.0,0.30132510437465965,0.0,0.07916376978011012,0.1922121817550876,0.19662076990897215,0.07916376978011012,0.1922121817550876,0.19662076990897215,0.07916376978011012,0.1922121817550876,0.19662076990897215,0.19349324557374611,0.12294879625037311,0.4539654250249383,0.15004540887704282,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=15;resolution=0.5;seed=1,15.0,0.5,1.0,5509.0,6.0,0.3220185151570158,0.0,0.07912126176150669,0.19181317646824791,0.19622370077412837,0.07912126176150669,0.19181317646824791,0.19622370077412837,0.07912126176150669,0.19181317646824791,0.19622370077412837,0.1934825838050902,0.12286493695168657,0.45499442010760033,0.1498514557766517,,
dense_bge_pca,leiden,cosine,k=15;resolution=2.0;seed=7,15.0,2.0,7.0,5509.0,31.0,0.08095843165728807,0.0,0.2484008904466409,0.3651173771087365,0.3802014191483556,0.2484008904466409,0.3651173771087365,0.3802014191483556,0.2484008904466409,0.3651173771087365,0.3802014191483556,0.28602884714315857,0.3846348666365457,0.2276642366836747,0.14979986677146015,,
hybrid_dense_lexical_dw1.25_lw1.0,leiden,cosine,k=75;resolution=2.5;seed=42,75.0,2.5,42.0,5509.0,35.0,0.06480304955527319,0.0,0.2382393299090646,0.3731951120791317,0.389533936207615,0.2382393299090646,0.3731951120791317,0.389533936207615,0.2382393299090646,0.3731951120791317,0.389533936207615,0.2809036021656659,0.393296629157331,0.21847083187589875,0.14967502587358264,,
dense_bge_pca,leiden,cosine,k=30;resolution=2.5;seed=1,30.0,2.5,1.0,5509.0,32.0,0.06952259938282809,0.0,0.2422440229431726,0.3695616035169936,0.38498819445924065,0.2422440229431726,0.3695616035169936,0.38498819445924065,0.2422440229431726,0.3695616035169936,0.38498819445924065,0.28349318893575687,0.38792880388926837,0.22336133458441368,0.14953121398831207,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=10;resolution=2.0;seed=7,10.0,2.0,7.0,5509.0,34.0,0.07950626247957887,0.0,0.24392430245906913,0.3682162370564469,0.3845559633215962,0.24392430245906913,0.3682162370564469,0.3845559633215962,0.24392430245906913,0.3682162370564469,0.3845559633215962,0.28140577982172266,0.397302255096031,0.21785547060793992,0.14924068494375373,,
hybrid_dense_lexical_dw1.25_lw1.0,leiden,cosine,k=30;resolution=2.0;seed=7,30.0,2.0,7.0,5509.0,34.0,0.0713378108549646,0.0,0.23746956353143922,0.3724098695791758,0.38871175970034716,0.23746956353143922,0.3724098695791758,0.38871175970034716,0.23746956353143922,0.3724098695791758,0.38871175970034716,0.2798874293337171,0.38585807668542066,0.2195821835793853,0.14887826876709712,,
dense_bge_pca,leiden,cosine,k=20;resolution=2.5;seed=1,20.0,2.5,1.0,5509.0,33.0,0.0702486839716827,0.0,0.24232995458625556,0.3714123774469708,0.38702548453789437,0.24232995458625556,0.3714123774469708,0.38702548453789437,0.24232995458625556,0.3714123774469708,0.38702548453789437,0.2756583384487106,0.39932968975766653,0.21047483681359458,0.1488695006894866,,
dense_bge_pca,leiden,cosine,k=10;resolution=2.5;seed=7,10.0,2.5,7.0,5509.0,42.0,0.06516609184970049,0.0,0.24369794733571595,0.37182686437937496,0.3913844264726931,0.24369794733571595,0.37182686437937496,0.3913844264726931,0.24369794733571595,0.37182686437937496,0.3913844264726931,0.2675044558908749,0.4419640572491087,0.19179561492635097,0.14882175487293806,,
dense_bge_pca,leiden,cosine,k=20;resolution=0.5;seed=42,20.0,0.5,42.0,5509.0,6.0,0.3408967144672354,0.0,0.07759299763448933,0.190621388434847,0.19506793881427248,0.07759299763448933,0.190621388434847,0.19506793881427248,0.07759299763448933,0.190621388434847,0.19506793881427248,0.19321583668896802,0.12189435446387764,0.46570263152537417,0.14881232901867794,,
dense_bge_pca,leiden,cosine,k=15;resolution=2.5;seed=7,15.0,2.5,7.0,5509.0,37.0,0.0680704302051189,0.0,0.2427463939237026,0.3707119233921671,0.388257923705795,0.2427463939237026,0.3707119233921671,0.388257923705795,0.2427463939237026,0.3707119233921671,0.388257923705795,0.27381783270410937,0.4124596087049643,0.20493288398080442,0.14879435032281482,,
