year,month,archive_url,candidate_count_total_month,candidate_count_tagged_month,selected_count
2015,5,https://www.anekdot.ru/an/an1505/j1505;100.html,100,19,19
2015,6,https://www.anekdot.ru/an/an1506/j1506;100.html,100,26,26
2015,7,https://www.anekdot.ru/an/an1507/j1507;100.html,100,18,18
2015,8,https://www.anekdot.ru/an/an1508/j1508;100.html,100,26,26
2015,9,https://www.anekdot.ru/an/an1509/j1509;100.html,100,28,28
2015,10,https://www.anekdot.ru/an/an1510/j1510;100.html,100,31,30
2015,11,https://www.anekdot.ru/an/an1511/j1511;100.html,100,32,30
2015,12,https://www.anekdot.ru/an/an1512/j1512;100.html,100,45,30
2016,1,https://www.anekdot.ru/an/an1601/j1601;100.html,100,44,30
2016,2,https://www.anekdot.ru/an/an1602/j1602;100.html,100,20,20
2016,3,https://www.anekdot.ru/an/an1603/j1603;100.html,100,22,22
2016,4,https://www.anekdot.ru/an/an1604/j1604;100.html,100,25,25
2016,5,https://www.anekdot.ru/an/an1605/j1605;100.html,16,7,7
2016,6,https://www.anekdot.ru/an/an1606/j1606;100.html,100,14,14
2016,7,https://www.anekdot.ru/an/an1607/j1607;100.html,100,21,21
2016,8,https://www.anekdot.ru/an/an1608/j1608;100.html,100,15,15
2016,9,https://www.anekdot.ru/an/an1609/j1609;100.html,100,20,20
2016,10,https://www.anekdot.ru/an/an1610/j1610;100.html,100,29,29
2016,11,https://www.anekdot.ru/an/an1611/j1611;100.html,100,30,30
2016,12,https://www.anekdot.ru/an/an1612/j1612;100.html,100,27,27
2017,1,https://www.anekdot.ru/an/an1701/j1701;100.html,100,28,28
2017,2,https://www.anekdot.ru/an/an1702/j1702;100.html,100,19,19
2017,3,https://www.anekdot.ru/an/an1703/j1703;100.html,100,35,30
2017,4,https://www.anekdot.ru/an/an1704/j1704;100.html,100,19,19
2017,5,https://www.anekdot.ru/an/an1705/j1705;100.html,100,23,23
2017,6,https://www.anekdot.ru/an/an1706/j1706;100.html,100,17,17
2017,7,https://www.anekdot.ru/an/an1707/j1707;100.html,100,21,21
2017,8,https://www.anekdot.ru/an/an1708/j1708;100.html,100,11,11
2017,9,https://www.anekdot.ru/an/an1709/j1709;100.html,100,37,30
2017,10,https://www.anekdot.ru/an/an1710/j1710;100.html,100,18,18
2017,11,https://www.anekdot.ru/an/an1711/j1711;100.html,28,8,8
2017,12,https://www.anekdot.ru/an/an1712/j1712;100.html,100,21,21
2018,1,https://www.anekdot.ru/an/an1801/j1801;100.html,100,17,17
2018,2,https://www.anekdot.ru/an/an1802/j1802;100.html,100,25,25
2018,3,https://www.anekdot.ru/an/an1803/j1803;100.html,100,22,22
2018,4,https://www.anekdot.ru/an/an1804/j1804;100.html,100,13,13
2018,5,https://www.anekdot.ru/an/an1805/j1805;100.html,100,25,25
2018,6,https://www.anekdot.ru/an/an1806/j1806;100.html,100,28,28
2018,7,https://www.anekdot.ru/an/an1807/j1807;100.html,100,22,22
2018,8,https://www.anekdot.ru/an/an1808/j1808;100.html,100,24,24
2018,9,https://www.anekdot.ru/an/an1809/j1809;100.html,100,13,13
2018,10,https://www.anekdot.ru/an/an1810/j1810;100.html,100,16,16
2018,11,https://www.anekdot.ru/an/an1811/j1811;100.html,100,18,18
2018,12,https://www.anekdot.ru/an/an1812/j1812;100.html,100,28,28
2019,1,https://www.anekdot.ru/an/an1901/j1901;100.html,100,12,12
2019,2,https://www.anekdot.ru/an/an1902/j1902;100.html,100,18,18
2019,3,https://www.anekdot.ru/an/an1903/j1903;100.html,100,14,14
2019,4,https://www.anekdot.ru/an/an1904/j1904;100.html,100,8,8
2019,5,https://www.anekdot.ru/an/an1905/j1905;100.html,100,9,9
2019,6,https://www.anekdot.ru/an/an1906/j1906;100.html,100,11,11
2019,7,https://www.anekdot.ru/an/an1907/j1907;100.html,100,22,22
2019,8,https://www.anekdot.ru/an/an1908/j1908;100.html,100,9,9
2019,9,https://www.anekdot.ru/an/an1909/j1909;100.html,100,32,30
2019,10,https://www.anekdot.ru/an/an1910/j1910;100.html,100,9,9
2019,11,https://www.anekdot.ru/an/an1911/j1911;100.html,100,24,24
2019,12,https://www.anekdot.ru/an/an1912/j1912;100.html,100,20,20
2020,1,https://www.anekdot.ru/an/an2001/j2001;100.html,26,11,11
2020,2,https://www.anekdot.ru/an/an2002/j2002;100.html,100,11,11
2020,3,https://www.anekdot.ru/an/an2003/j2003;100.html,100,43,30
2020,4,https://www.anekdot.ru/an/an2004/j2004;100.html,100,34,30
2020,5,https://www.anekdot.ru/an/an2005/j2005;100.html,100,24,24
2020,6,https://www.anekdot.ru/an/an2006/j2006;100.html,100,26,26
2020,7,https://www.anekdot.ru/an/an2007/j2007;100.html,100,13,13
2020,8,https://www.anekdot.ru/an/an2008/j2008;100.html,100,24,24
2020,9,https://www.anekdot.ru/an/an2009/j2009;100.html,100,26,26
2020,10,https://www.anekdot.ru/an/an2010/j2010;100.html,100,29,29
2020,11,https://www.anekdot.ru/an/an2011/j2011;100.html,100,26,26
2020,12,https://www.anekdot.ru/an/an2012/j2012;100.html,100,11,11
2021,1,https://www.anekdot.ru/an/an2101/j2101;100.html,100,13,13
2021,2,https://www.anekdot.ru/an/an2102/j2102;100.html,100,10,10
2021,3,https://www.anekdot.ru/an/an2103/j2103;100.html,100,3,3
2021,4,https://www.anekdot.ru/an/an2104/j2104;100.html,100,9,9
2021,5,https://www.anekdot.ru/an/an2105/j2105;100.html,100,5,5
2021,6,https://www.anekdot.ru/an/an2106/j2106;100.html,100,10,10
2021,7,https://www.anekdot.ru/an/an2107/j2107;100.html,100,9,9
2021,8,https://www.anekdot.ru/an/an2108/j2108;100.html,100,9,9
2021,9,https://www.anekdot.ru/an/an2109/j2109;100.html,100,7,7
2021,10,https://www.anekdot.ru/an/an2110/j2110;100.html,100,13,13
2021,11,https://www.anekdot.ru/an/an2111/j2111;100.html,100,12,12
2021,12,https://www.anekdot.ru/an/an2112/j2112;100.html,100,25,25
