feature_set,method,params,rows,cluster_count,largest_cluster_share,noise_share,ari_all,ami_all,v_measure_all,ari_excluding_other,ami_excluding_other,v_measure_excluding_other,ari_single_clear,ami_single_clear,v_measure_single_clear,pairwise_f1_all,pairwise_precision_all,pairwise_recall_all,balanced_score
hybrid_dense_lexical_structural_dw1.0_lw1.25_sw0.25,minibatch_kmeans_ablation,dense=1.0;lexical=1.25;structural=0.25,5509,12,0.16881466690869487,0.0,0.0717292741319323,0.14648752760283884,0.1550539535524836,0.0717292741319323,0.14648752760283884,0.1550539535524836,0.0717292741319323,0.14648752760283884,0.1550539535524836,0.15893151243287384,0.13008320326683045,0.20422128576266857,0.12136607863484312
hybrid_dense_lexical_structural_dw1.25_lw1.25_sw0.5,minibatch_kmeans_ablation,dense=1.25;lexical=1.25;structural=0.5,5509,12,0.12053004174986386,0.0,0.07743470203548002,0.13699912131333083,0.14540813877384218,0.07743470203548002,0.13699912131333083,0.14540813877384218,0.07743470203548002,0.13699912131333083,0.14540813877384218,0.15613614875252682,0.14061826930562404,0.1755038096877296,0.11820949931727608
hybrid_dense_lexical_structural_dw0.5_lw0.75_sw0.1,minibatch_kmeans_ablation,dense=0.5;lexical=0.75;structural=0.1,5509,12,0.16863314576148122,0.0,0.06880339328864112,0.140164649657861,0.14866901270600466,0.06880339328864112,0.140164649657861,0.14866901270600466,0.06880339328864112,0.140164649657861,0.14866901270600466,0.15350220343783894,0.13114634760573135,0.18504607343989724,0.11654164178223349
hybrid_dense_lexical_structural_dw0.5_lw1.0_sw0.1,minibatch_kmeans_ablation,dense=0.5;lexical=1.0;structural=0.1,5509,12,0.23180250499183155,0.0,0.05615865141251973,0.15103833329696117,0.15964162629151704,0.05615865141251973,0.15103833329696117,0.15964162629151704,0.05615865141251973,0.15103833329696117,0.15964162629151704,0.1454323549318148,0.11389464582814772,0.20112412160649082,0.11605213964239039
hybrid_dense_lexical_structural_dw1.25_lw0.75_sw0.5,minibatch_kmeans_ablation,dense=1.25;lexical=0.75;structural=0.5,5509,12,0.11072789980032674,0.0,0.07255168573702905,0.13485089999645103,0.14326733603174185,0.07255168573702905,0.13485089999645103,0.14326733603174185,0.07255168573702905,0.13485089999645103,0.14326733603174185,0.14998054158763202,0.1360584100018613,0.16707659906020916,0.11454862804586079
hybrid_dense_lexical_structural_dw1.0_lw1.0_sw0.5,minibatch_kmeans_ablation,dense=1.0;lexical=1.0;structural=0.5,5509,12,0.14721365039027046,0.0,0.07045817377202565,0.13491089399831668,0.14338107702413289,0.07045817377202565,0.13491089399831668,0.14338107702413289,0.07045817377202565,0.13491089399831668,0.14338107702413289,0.1507998084617981,0.13315820103307263,0.17382984196782356,0.11412486187966389
hybrid_dense_lexical_structural_dw0.5_lw0.5_sw0.25,minibatch_kmeans_ablation,dense=0.5;lexical=0.5;structural=0.25,5509,12,0.14721365039027046,0.0,0.07045817377202565,0.13491089399831668,0.14338107702413289,0.07045817377202565,0.13491089399831668,0.14338107702413289,0.07045817377202565,0.13491089399831668,0.14338107702413289,0.1507998084617981,0.13315820103307263,0.17382984196782356,0.11412486187966389
hybrid_dense_lexical_dw0.5_lw1.25,minibatch_kmeans_ablation,dense=0.5;lexical=1.25,5509,12,0.19695044472681067,0.0,0.05906119497254392,0.14154860846387618,0.15020618585419362,0.05906119497254392,0.14154860846387618,0.15020618585419362,0.05906119497254392,0.14154860846387618,0.15020618585419362,0.1472293461286982,0.1184396839429709,0.19450968199240098,0.11302549587382646
hybrid_dense_lexical_structural_dw0.5_lw0.75_sw0.25,minibatch_kmeans_ablation,dense=0.5;lexical=0.75;structural=0.25,5509,12,0.1430386640043565,0.0,0.062429561807389115,0.139448647735145,0.1480059241501284,0.062429561807389115,0.139448647735145,0.1480059241501284,0.062429561807389115,0.139448647735145,0.1480059241501284,0.1452610533213266,0.12355817863174827,0.17621263183999497,0.11267228979104316
hybrid_dense_lexical_structural_dw1.0_lw1.25_sw0.5,minibatch_kmeans_ablation,dense=1.0;lexical=1.25;structural=0.5,5509,12,0.12161916863314576,0.0,0.0672441531941345,0.13578766267474238,0.1442359592150019,0.0672441531941345,0.13578766267474238,0.1442359592150019,0.0672441531941345,0.13578766267474238,0.1442359592150019,0.14588681382984334,0.12991497714703662,0.16633631482807823,0.11256713106290797
hybrid_dense_lexical_structural_dw1.25_lw0.5_sw0.5,minibatch_kmeans_ablation,dense=1.25;lexical=0.5;structural=0.5,5509,12,0.12488654928299146,0.0,0.06738017644775411,0.13134954856367773,0.13981449799505188,0.06738017644775411,0.13134954856367773,0.13981449799505188,0.06738017644775411,0.13134954856367773,0.13981449799505188,0.14554052429866327,0.13071577571412887,0.164158028475033,0.1105456920055574
hybrid_dense_lexical_structural_dw0.75_lw1.25_sw0.25,minibatch_kmeans_ablation,dense=0.75;lexical=1.25;structural=0.25,5509,12,0.1851515701579234,0.0,0.05377131795048571,0.1393501444040846,0.14805971513095093,0.05377131795048571,0.1393501444040846,0.14805971513095093,0.05377131795048571,0.1393501444040846,0.14805971513095093,0.14177736346856967,0.11312952972469861,0.18985421952758763,0.1093718257424143
tfidf_char_svd,minibatch_kmeans_ablation,n_clusters=12,5509,12,0.1927754583408967,0.0,0.052635791899923484,0.1356251791605695,0.1444190060700171,0.052635791899923484,0.1356251791605695,0.1444190060700171,0.052635791899923484,0.1356251791605695,0.1444190060700171,0.14203012838716222,0.112358799977589,0.19299580073769323,0.10742655059702766
hybrid_dense_lexical_structural_dw1.0_lw0.75_sw0.5,minibatch_kmeans_ablation,dense=1.0;lexical=0.75;structural=0.5,5509,12,0.13269195861317842,0.0,0.06356217817982071,0.12332661542565293,0.13190016406444613,0.06356217817982071,0.12332661542565293,0.13190016406444613,0.06356217817982071,0.12332661542565293,0.13190016406444613,0.14344316688847678,0.12775810051382602,0.1635186079695299,0.10539765093288368
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.5,minibatch_kmeans_ablation,dense=1.0;lexical=0.25;structural=0.5,5509,12,0.12416046469413687,0.0,0.062056246183855863,0.12453236829157112,0.1331451292306028,0.062056246183855863,0.12453236829157112,0.1331451292306028,0.062056246183855863,0.12453236829157112,0.1331451292306028,0.14285447368849974,0.12522380684554488,0.16626321176015532,0.10538052455882163
